bin_lo,bin_hi,count
0.00000000,0.13050000,22141
0.13050000,0.26100000,21871
0.26100000,0.39150000,21831
0.39150000,0.52200000,22167
0.52200000,0.65250000,22010
0.65250000,0.78300000,21509
0.78300000,0.91350000,22157
0.91350000,1.04400000,22693
1.04400000,1.17450000,23030
1.17450000,1.30500000,23376
1.30500000,1.43550000,24541
1.43550000,1.56600000,26019
1.56600000,1.69650000,28084
1.69650000,1.82700000,31183
1.82700000,1.95750000,35221
1.95750000,2.08800000,42461
2.08800000,2.21850000,55140
2.21850000,2.34900000,83134
2.34900000,2.47950000,25591
2.47950000,2.61000000,116567
