z_bin_lo,z_bin_hi,r_bin_lo,r_bin_hi,count
0.00000000,12.13333333,0.00000000,6.84166667,0
0.00000000,12.13333333,6.84166667,13.68333333,0
0.00000000,12.13333333,13.68333333,20.52500000,0
0.00000000,12.13333333,20.52500000,27.36666667,0
0.00000000,12.13333333,27.36666667,34.20833333,0
0.00000000,12.13333333,34.20833333,41.05000000,0
0.00000000,12.13333333,41.05000000,47.89166667,0
0.00000000,12.13333333,47.89166667,54.73333333,0
0.00000000,12.13333333,54.73333333,61.57500000,0
0.00000000,12.13333333,61.57500000,68.41666667,0
0.00000000,12.13333333,68.41666667,75.25833333,0
0.00000000,12.13333333,75.25833333,82.10000000,0
12.13333333,24.26666667,0.00000000,6.84166667,0
12.13333333,24.26666667,6.84166667,13.68333333,0
12.13333333,24.26666667,13.68333333,20.52500000,0
12.13333333,24.26666667,20.52500000,27.36666667,0
12.13333333,24.26666667,27.36666667,34.20833333,0
12.13333333,24.26666667,34.20833333,41.05000000,0
12.13333333,24.26666667,41.05000000,47.89166667,0
12.13333333,24.26666667,47.89166667,54.73333333,0
12.13333333,24.26666667,54.73333333,61.57500000,0
12.13333333,24.26666667,61.57500000,68.41666667,0
12.13333333,24.26666667,68.41666667,75.25833333,0
12.13333333,24.26666667,75.25833333,82.10000000,0
24.26666667,36.40000000,0.00000000,6.84166667,0
24.26666667,36.40000000,6.84166667,13.68333333,0
24.26666667,36.40000000,13.68333333,20.52500000,0
24.26666667,36.40000000,20.52500000,27.36666667,0
24.26666667,36.40000000,27.36666667,34.20833333,0
24.26666667,36.40000000,34.20833333,41.05000000,0
24.26666667,36.40000000,41.05000000,47.89166667,0
24.26666667,36.40000000,47.89166667,54.73333333,0
24.26666667,36.40000000,54.73333333,61.57500000,0
24.26666667,36.40000000,61.57500000,68.41666667,0
24.26666667,36.40000000,68.41666667,75.25833333,0
24.26666667,36.40000000,75.25833333,82.10000000,0
36.40000000,48.53333333,0.00000000,6.84166667,0
36.40000000,48.53333333,6.84166667,13.68333333,0
36.40000000,48.53333333,13.68333333,20.52500000,0
36.40000000,48.53333333,20.52500000,27.36666667,0
36.40000000,48.53333333,27.36666667,34.20833333,0
36.40000000,48.53333333,34.20833333,41.05000000,0
36.40000000,48.53333333,41.05000000,47.89166667,0
36.40000000,48.53333333,47.89166667,54.73333333,0
36.40000000,48.53333333,54.73333333,61.57500000,0
36.40000000,48.53333333,61.57500000,68.41666667,0
36.40000000,48.53333333,68.41666667,75.25833333,0
36.40000000,48.53333333,75.25833333,82.10000000,0
48.53333333,60.66666667,0.00000000,6.84166667,0
48.53333333,60.66666667,6.84166667,13.68333333,0
48.53333333,60.66666667,13.68333333,20.52500000,0
48.53333333,60.66666667,20.52500000,27.36666667,0
48.53333333,60.66666667,27.36666667,34.20833333,0
48.53333333,60.66666667,34.20833333,41.05000000,0
48.53333333,60.66666667,41.05000000,47.89166667,0
48.53333333,60.66666667,47.89166667,54.73333333,0
48.53333333,60.66666667,54.73333333,61.57500000,0
48.53333333,60.66666667,61.57500000,68.41666667,0
48.53333333,60.66666667,68.41666667,75.25833333,0
48.53333333,60.66666667,75.25833333,82.10000000,0
60.66666667,72.80000000,0.00000000,6.84166667,0
60.66666667,72.80000000,6.84166667,13.68333333,0
60.66666667,72.80000000,13.68333333,20.52500000,0
60.66666667,72.80000000,20.52500000,27.36666667,0
60.66666667,72.80000000,27.36666667,34.20833333,0
60.66666667,72.80000000,34.20833333,41.05000000,0
60.66666667,72.80000000,41.05000000,47.89166667,0
60.66666667,72.80000000,47.89166667,54.73333333,0
60.66666667,72.80000000,54.73333333,61.57500000,0
60.66666667,72.80000000,61.57500000,68.41666667,0
60.66666667,72.80000000,68.41666667,75.25833333,0
60.66666667,72.80000000,75.25833333,82.10000000,0
72.80000000,84.93333333,0.00000000,6.84166667,0
72.80000000,84.93333333,6.84166667,13.68333333,0
72.80000000,84.93333333,13.68333333,20.52500000,0
72.80000000,84.93333333,20.52500000,27.36666667,0
72.80000000,84.93333333,27.36666667,34.20833333,0
72.80000000,84.93333333,34.20833333,41.05000000,0
72.80000000,84.93333333,41.05000000,47.89166667,0
72.80000000,84.93333333,47.89166667,54.73333333,0
72.80000000,84.93333333,54.73333333,61.57500000,0
72.80000000,84.93333333,61.57500000,68.41666667,0
72.80000000,84.93333333,68.41666667,75.25833333,0
72.80000000,84.93333333,75.25833333,82.10000000,0
84.93333333,97.06666667,0.00000000,6.84166667,38523
84.93333333,97.06666667,6.84166667,13.68333333,0
84.93333333,97.06666667,13.68333333,20.52500000,0
84.93333333,97.06666667,20.52500000,27.36666667,0
84.93333333,97.06666667,27.36666667,34.20833333,0
84.93333333,97.06666667,34.20833333,41.05000000,0
84.93333333,97.06666667,41.05000000,47.89166667,0
84.93333333,97.06666667,47.89166667,54.73333333,0
84.93333333,97.06666667,54.73333333,61.57500000,0
84.93333333,97.06666667,61.57500000,68.41666667,0
84.93333333,97.06666667,68.41666667,75.25833333,0
84.93333333,97.06666667,75.25833333,82.10000000,0
97.06666667,109.20000000,0.00000000,6.84166667,652203
97.06666667,109.20000000,6.84166667,13.68333333,0
