T[MeV],S_col[MeVcm2/g],S_rad[MeVcm2/g],S_tot[MeVcm2/g],frac_rad,R_LXe[mm]
5.000000e-02,3.513000e+00,2.593000e-02,3.538930e+00,7.327073e-03,2.658939e-02
1.000000e-01,2.267000e+00,3.006000e-02,2.297060e+00,1.308629e-02,8.818317e-02
2.500000e-01,1.445000e+00,3.797000e-02,1.482970e+00,2.560402e-02,3.783162e-01
5.000000e-01,1.192000e+00,5.103000e-02,1.243030e+00,4.105291e-02,1.016342e+00
1.000000e+00,1.122000e+00,8.217000e-02,1.204170e+00,6.823787e-02,2.417805e+00
1.500000e+00,1.135000e+00,1.176000e-01,1.252600e+00,9.388472e-02,3.798967e+00
2.000000e+00,1.160000e+00,1.557000e-01,1.315700e+00,1.183400e-01,5.118043e+00
2.382000e+00,1.180000e+00,1.862000e-01,1.366200e+00,1.362904e-01,6.082750e+00
2.400000e+00,1.181000e+00,1.876000e-01,1.368600e+00,1.370744e-01,6.127324e+00
2.448000e+00,1.184000e+00,1.915000e-01,1.375500e+00,1.392221e-01,6.245799e+00
2.500000e+00,1.186000e+00,1.958000e-01,1.381800e+00,1.416992e-01,6.373542e+00
2.600000e+00,1.191000e+00,2.040000e-01,1.395000e+00,1.462366e-01,6.617435e+00
3.000000e+00,1.211000e+00,2.373000e-01,1.448300e+00,1.638473e-01,7.570238e+00
