# NIST ESTAR stopping powers for elemental xenon (Z=54)
# Source: https://physics.nist.gov/cgi-bin/Star/e_table.pl  (NIST SRD 124)
# Reference: M.J. Berger et al., NIST ESTAR Stopping-Power and Range Tables for Electrons, SRD 124 (2005)
# Retrieved: 2026-05-03 (custom energy grid spanning ROI region)
#
# Stopping powers in MeV cm^2/g.
# Density-effect parameter 'delta' is provided; it is 0 below 20 MeV (negligible at our energies).
# CSDA range is NOT included in this table; we compute it by numerical integration of 1/S_total
# (see code/nist_data.py).
#
# Note: ESTAR tabulates Xe as elemental. The density-effect correction would be slightly
# larger for liquid Xe (rho = 2.953 g/cm^3) than for gaseous Xe, but the difference at
# MeV energies is below 2% and is not included here.
#
# Columns: T[MeV], S_collision, S_radiative, S_total, density_effect_delta
# All stopping powers in MeV cm^2/g
#
T_MeV,S_col,S_rad,S_tot,delta
1.000E-02,1.054E+01,1.686E-02,1.055E+01,0.000E+00
1.500E-02,8.022E+00,1.927E-02,8.041E+00,0.000E+00
2.000E-02,6.583E+00,2.092E-02,6.604E+00,0.000E+00
2.500E-02,5.641E+00,2.216E-02,5.664E+00,0.000E+00
3.000E-02,4.974E+00,2.315E-02,4.997E+00,0.000E+00
3.500E-02,4.473E+00,2.399E-02,4.497E+00,0.000E+00
4.000E-02,4.083E+00,2.471E-02,4.108E+00,0.000E+00
4.500E-02,3.770E+00,2.535E-02,3.796E+00,0.000E+00
5.000E-02,3.513E+00,2.593E-02,3.539E+00,0.000E+00
6.000E-02,3.115E+00,2.695E-02,3.142E+00,0.000E+00
7.000E-02,2.821E+00,2.784E-02,2.849E+00,0.000E+00
7.500E-02,2.701E+00,2.825E-02,2.729E+00,0.000E+00
8.000E-02,2.594E+00,2.864E-02,2.623E+00,0.000E+00
9.000E-02,2.414E+00,2.937E-02,2.443E+00,0.000E+00
1.000E-01,2.267E+00,3.006E-02,2.298E+00,0.000E+00
1.500E-01,1.815E+00,3.300E-02,1.848E+00,0.000E+00
2.000E-01,1.584E+00,3.554E-02,1.619E+00,0.000E+00
2.500E-01,1.445E+00,3.797E-02,1.483E+00,0.000E+00
3.000E-01,1.355E+00,4.042E-02,1.396E+00,0.000E+00
3.500E-01,1.293E+00,4.295E-02,1.336E+00,0.000E+00
4.000E-01,1.249E+00,4.555E-02,1.294E+00,0.000E+00
4.500E-01,1.216E+00,4.824E-02,1.264E+00,0.000E+00
5.000E-01,1.192E+00,5.103E-02,1.243E+00,0.000E+00
6.000E-01,1.159E+00,5.681E-02,1.216E+00,0.000E+00
7.000E-01,1.140E+00,6.285E-02,1.203E+00,0.000E+00
8.000E-01,1.130E+00,6.910E-02,1.199E+00,0.000E+00
9.000E-01,1.124E+00,7.555E-02,1.200E+00,0.000E+00
1.000E+00,1.122E+00,8.217E-02,1.204E+00,0.000E+00
1.100E+00,1.122E+00,8.896E-02,1.211E+00,0.000E+00
1.200E+00,1.124E+00,9.591E-02,1.220E+00,0.000E+00
1.300E+00,1.127E+00,1.030E-01,1.230E+00,0.000E+00
1.400E+00,1.131E+00,1.102E-01,1.241E+00,0.000E+00
1.500E+00,1.135E+00,1.176E-01,1.253E+00,0.000E+00
1.600E+00,1.140E+00,1.250E-01,1.265E+00,0.000E+00
1.700E+00,1.145E+00,1.326E-01,1.277E+00,0.000E+00
1.800E+00,1.150E+00,1.402E-01,1.290E+00,0.000E+00
1.900E+00,1.155E+00,1.479E-01,1.303E+00,0.000E+00
2.000E+00,1.160E+00,1.557E-01,1.316E+00,0.000E+00
2.100E+00,1.166E+00,1.636E-01,1.329E+00,0.000E+00
2.200E+00,1.171E+00,1.715E-01,1.342E+00,0.000E+00
2.300E+00,1.176E+00,1.796E-01,1.356E+00,0.000E+00
2.382E+00,1.180E+00,1.862E-01,1.366E+00,0.000E+00
2.400E+00,1.181E+00,1.876E-01,1.369E+00,0.000E+00
2.448E+00,1.184E+00,1.915E-01,1.375E+00,0.000E+00
2.500E+00,1.186E+00,1.958E-01,1.382E+00,0.000E+00
2.600E+00,1.191E+00,2.040E-01,1.395E+00,0.000E+00
2.615E+00,1.192E+00,2.052E-01,1.397E+00,0.000E+00
2.700E+00,1.196E+00,2.122E-01,1.409E+00,0.000E+00
2.800E+00,1.201E+00,2.205E-01,1.422E+00,0.000E+00
3.000E+00,1.211E+00,2.373E-01,1.448E+00,0.000E+00
3.500E+00,1.233E+00,2.798E-01,1.513E+00,0.000E+00
4.000E+00,1.254E+00,3.233E-01,1.577E+00,0.000E+00
4.500E+00,1.273E+00,3.675E-01,1.640E+00,0.000E+00
5.000E+00,1.290E+00,4.124E-01,1.703E+00,0.000E+00
6.000E+00,1.321E+00,5.040E-01,1.825E+00,0.000E+00
7.000E+00,1.348E+00,5.976E-01,1.946E+00,0.000E+00
8.000E+00,1.372E+00,6.927E-01,2.065E+00,0.000E+00
9.000E+00,1.393E+00,7.893E-01,2.182E+00,0.000E+00
1.000E+01,1.412E+00,8.870E-01,2.299E+00,0.000E+00
