E[MeV],sC[cm2/g],sP[cm2/g],sPh[cm2/g],sT[cm2/g],bC,bP,bPh,mfp[cm]
5.000000e-02,1.073000e-01,0.000000e+00,1.227000e+01,1.237730e+01,8.669096e-03,0.000000e+00,9.913309e-01,2.735966e-02
1.000000e-01,1.081000e-01,0.000000e+00,1.793000e+00,1.901100e+00,5.686182e-02,0.000000e+00,9.431382e-01,1.781278e-01
5.000000e-01,7.064000e-02,0.000000e+00,2.088000e-02,9.152000e-02,7.718531e-01,0.000000e+00,2.281469e-01,3.700160e+00
1.000000e+00,5.211000e-02,0.000000e+00,4.335000e-03,5.644500e-02,9.231996e-01,0.000000e+00,7.680043e-02,5.999445e+00
1.500000e+00,4.244000e-02,8.853000e-04,1.991000e-03,4.531630e-02,9.365284e-01,1.953602e-02,4.393563e-02,7.472779e+00
2.000000e+00,3.625000e-02,2.971000e-03,1.211000e-03,4.043200e-02,8.965671e-01,7.348140e-02,2.995152e-02,8.375511e+00
2.447600e+00,3.218531e-02,4.744176e-03,8.823535e-04,3.781184e-02,8.511966e-01,1.254680e-01,2.333538e-02,8.955891e+00
2.457800e+00,3.210634e-02,4.788390e-03,8.766437e-04,3.777138e-02,8.500178e-01,1.267730e-01,2.320921e-02,8.965484e+00
2.614500e+00,3.095538e-02,5.496078e-03,7.960119e-04,3.724747e-02,8.310733e-01,1.475558e-01,2.137090e-02,9.091589e+00
5.000000e+00,2.854000e-02,7.467981e-03,6.422000e-04,3.665018e-02,7.787138e-01,2.037638e-01,1.752242e-02,9.239754e+00
1.000000e+01,2.854000e-02,7.467981e-03,6.422000e-04,3.665018e-02,7.787138e-01,2.037638e-01,1.752242e-02,9.239754e+00
