# NIST XCOM photon cross sections for elemental xenon (Z=54)
# Source: https://physics.nist.gov/cgi-bin/Xcom/data.pl  (NIST SRD 8)
# Reference: M.J. Berger et al., NIST XCOM Photon Cross Sections Database, SRD 8 (2010)
# Retrieved: 2026-05-03
#
# All cross sections in cm^2/g (mass attenuation coefficient mu/rho).
# Multiply by rho = 2.953 g/cm^3 (LXe) to get mu in cm^-1.
# Multiply by A/N_A = 131.293/6.022e23 to convert cm^2/g to cm^2/atom.
#
# Two rows at 0.034561 MeV bracket the K-edge: first row = below edge, second = above.
#
# Columns: E[MeV], coh, incoh (Compton), photoel, nuc-pair, e-pair, tot-w-coh, tot-no-coh
# All in cm^2/g
#
E_MeV,coherent,incoherent,photoelectric,pair_nuclear,pair_electron,total_w_coh,total_no_coh
3.000E-02,7.545E-01,9.729E-02,8.078E+00,0.000E+00,0.000E+00,8.929E+00,8.175E+00
3.456E-02,6.119E-01,1.008E-01,5.417E+00,0.000E+00,0.000E+00,6.130E+00,5.518E+00
3.456E-02,6.119E-01,1.008E-01,3.244E+01,0.000E+00,0.000E+00,3.316E+01,3.254E+01
4.000E-02,4.913E-01,1.038E-01,2.211E+01,0.000E+00,0.000E+00,2.270E+01,2.221E+01
5.000E-02,3.492E-01,1.073E-01,1.227E+01,0.000E+00,0.000E+00,1.273E+01,1.238E+01
6.000E-02,2.610E-01,1.091E-01,7.454E+00,0.000E+00,0.000E+00,7.824E+00,7.563E+00
8.000E-02,1.608E-01,1.096E-01,3.363E+00,0.000E+00,0.000E+00,3.633E+00,3.472E+00
1.000E-01,1.089E-01,1.081E-01,1.793E+00,0.000E+00,0.000E+00,2.010E+00,1.902E+00
1.500E-01,5.298E-02,1.019E-01,5.651E-01,0.000E+00,0.000E+00,7.200E-01,6.670E-01
2.000E-01,3.136E-02,9.555E-02,2.490E-01,0.000E+00,0.000E+00,3.759E-01,3.446E-01
3.000E-01,1.464E-02,8.495E-02,8.009E-02,0.000E+00,0.000E+00,1.797E-01,1.650E-01
4.000E-01,8.435E-03,7.688E-02,3.699E-02,0.000E+00,0.000E+00,1.223E-01,1.139E-01
5.000E-01,5.472E-03,7.064E-02,2.088E-02,0.000E+00,0.000E+00,9.699E-02,9.152E-02
6.000E-01,3.837E-03,6.559E-02,1.338E-02,0.000E+00,0.000E+00,8.281E-02,7.898E-02
8.000E-01,2.181E-03,5.784E-02,6.940E-03,0.000E+00,0.000E+00,6.696E-02,6.478E-02
1.000E+00,1.404E-03,5.211E-02,4.335E-03,0.000E+00,0.000E+00,5.785E-02,5.644E-02
1.022E+00,1.345E-03,5.156E-02,4.126E-03,0.000E+00,0.000E+00,5.703E-02,5.568E-02
1.250E+00,9.022E-04,4.665E-02,2.782E-03,1.914E-04,0.000E+00,5.052E-02,4.962E-02
1.500E+00,6.279E-04,4.244E-02,1.991E-03,8.853E-04,0.000E+00,4.594E-02,4.531E-02
2.000E+00,3.540E-04,3.625E-02,1.211E-03,2.971E-03,0.000E+00,4.078E-02,4.043E-02
2.044E+00,3.390E-04,3.580E-02,1.169E-03,3.173E-03,0.000E+00,4.048E-02,4.014E-02
3.000E+00,1.576E-04,2.854E-02,6.422E-04,7.458E-03,9.981E-06,3.681E-02,3.665E-02
